,station_num,year,month,day,temp_ft,dewpt_ft,visib_mi,wind_knt,maxwind_knt,GUST,fog,rain,snow,hail,thunder,tornado,max_temp_frnht,min_temp_frnht,precip_in,precip_flag,slp_mb,STP,SNDP,WBAN
129,720276,2005,5,10,0.0,68.0,8.3,12.3,21.0,27.0,0,0,0,0,0,0,0.0,71.6,0.0,D,,,,
130,720276,2005,5,11,80.7,67.4,0.0,15.3,0.0,0.0,0,0,0,0,0,0,87.8,75.2,0.0,I,,,,
131,720276,2005,5,12,0.0,68.8,0.0,14.4,21.0,28.0,0,0,0,0,0,0,0.0,73.4,0.0,I,,,,
132,720276,2005,5,13,0.0,68.8,0.0,12.3,0.0,0.0,0,0,0,0,0,0,0.0,73.4,0.0,I,,,,
133,720276,2005,5,14,77.5,68.1,8.5,7.8,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,D,,,,
134,720276,2005,5,15,77.7,64.3,8.4,5.7,0.0,22.0,0,0,0,0,0,0,0.0,68.0,0.0,D,,,,
135,720276,2005,5,16,74.3,62.1,10.0,7.5,0.0,21.0,1,0,0,1,0,0,84.2,68.0,0.0,D,,,,
136,720276,2005,5,17,74.8,64.3,7.6,5.1,0.0,22.0,1,0,0,0,0,0,0.0,62.6,0.0,D,,,,
137,720276,2005,5,18,0.0,66.2,0.0,0.0,20.0,25.1,0,0,0,0,0,0,0.0,0.0,0.0,D,,,,
139,720276,2005,5,20,0.0,67.3,7.4,5.1,0.0,21.0,1,0,0,0,0,0,0.0,0.0,0.0,D,,,,
140,720276,2005,5,21,80.7,66.3,8.3,5.0,18.1,22.0,0,0,0,0,0,0,0.0,0.0,0.0,D,,,,
141,720276,2005,5,22,80.1,65.8,8.1,6.1,18.1,22.0,1,0,0,0,0,0,0.0,66.2,0.0,D,,,,
142,720276,2005,5,23,80.7,66.2,8.3,8.2,18.1,22.0,0,0,0,0,0,0,0.0,68.0,0.0,D,,,,
143,720276,2005,5,24,80.7,66.1,4.0,8.0,15.0,21.0,1,0,0,0,0,0,0.0,68.0,0.0,D,,,,
144,720276,2005,5,25,0.0,67.7,8.2,8.6,14.0,18.1,0,0,0,0,0,0,0.0,0.0,0.0,D,,,,
145,720276,2005,5,26,82.3,0.0,0.0,6.4,13.0,0.0,0,0,0,0,0,0,0.0,71.6,0.0,D,,,,
