USAF,WBAN,STATION NAME,CTRY,ST,RGN,CALL,LAT,LON,ELEV(M),BEGIN,END
701213,26638,POINT LAY LIZ 2,US,AK,W,PIZ,69.733,-163.017,6.1,19920318,19960630
701213,99999,POINT LAY(DEW/AWOS),US,AK,W,,69.733,-163.017,6.0,19901121,19910803
701330,26616,RALPH WIEN MEMORIAL AIRPORT,US,AK,W,PAOT,66.886,-162.607,3.4,19730101,20220428
701331,99999,DEERING,US,AK,W,,66.067,-162.75,5.0,19840402,19850612
701333,26643,DEERING AIRPORT,US,AK,W,PADE,66.07,-162.761,5.4,19990102,20220428
701333,99999,DEERING,US,AK,W,PADE,66.083,-162.75,6.0,19980111,19981229
701334,99999,KOTZEBUE,US,AK,W,,66.883,-162.6,3.0,19960801,19961009
701335,26648,NOATAK AIRPORT,US,AK,W,PAWN,67.566,-162.975,26.8,20060101,20220428
701335,99999,NOATAK,US,AK,W,PAWN,67.55,-162.967,27.0,19950708,20051231
701337,103,WALES AIRPORT,US,AK,W,PAIW,65.617,-168.1,7.0,20090122,20220428
701338,99999,CHEVAK AIRPORT,US,AK,W,PAVA,61.533,-165.583,22.9,20090210,20220427
701486,26642,KIVALINA AIRPORT,US,AK,W,PAVL,67.731,-164.548,5.7,20060101,20220428
701486,99999,KIVALINA,US,AK,W,PAVL,67.733,-164.55,4.0,19990114,20051231
701620,26508,UMIAT,US,AK,W,PAUM,69.367,-152.133,85.0,19460101,20130411
701625,26542,ANAKTUVUK PASS AIRPORT,US,AK,W,PAKP,68.167,-151.767,640.1,20060101,20220428
701625,99999,ANAKTUVUK PASS,US,AK,W,PAKP,68.133,-151.733,641.0,19800911,20051231
701718,26551,AMBLER AIRPORT,US,AK,W,PAFM,67.1,-157.85,88.1,20060101,20220428
701718,99999,AMBLER,US,AK,W,PAFM,67.1,-157.85,102.0,19880105,20051231
701719,490,SHUNGNAK AIRPORT,US,AK,W,PAGH,66.888,-157.162,62.8,20091210,20211123
701719,99999,SHUNGNAK,US,AK,W,PAGH,66.888,-157.162,60.0,19850208,19891011
701730,26535,INDIAN MOUNTAIN LRRS ARPT,US,AK,W,PAIM,66.0,-153.7,388.9,20050101,20220428
701730,99999,INDIAN MOUNTAIN AFS,US,AK,W,PAIM,66.0,-153.7,389.0,19510801,20041231
701740,26533,BETTLES AIRPORT,US,AK,W,PABT,66.918,-151.519,196.5,19450101,20220428
701745,26480,CHANDALAR LAKE AIRPORT,US,AK,W,PALR,67.511,-148.493,577.6,20060101,20141009
701745,99999,CHANDALAR LAKE,US,AK,W,PALR,67.5,-148.483,585.0,19730624,20051231
701746,99999,DIETRICK (PRIVATE),US,AK,W,,67.683,-149.733,447.0,19730825,19750729
701747,26467,MERRILL PASS WEST,US,AK,W,PAER,61.25,-153.82,358.0,19730825,19750729
701747,26554,MERRILL PASS WEST,US,AK,W,PAER,61.267,-153.8,356.6,20050101,20140615
701748,99999,PROSPECT CREEK AIRPORT,US,AK,W,PAPR,66.817,-150.65,335.0,19730825,20220427
701749,99999,WISEMAN ARPT,US,AK,W,,67.4,-150.117,360.0,19940819,20020803
701780,26529,RALPH M CALHOUN MEML ARPT,US,AK,W,PATA,65.173,-152.107,68.7,19430601,20220428
701790,99999,FIVE MILE CAMP,US,AK,W,,65.933,-149.833,155.0,19771103,19850531
701791,99999,MANLEY HOT SPRINGS,US,AK,W,,65.0,-150.65,85.0,19431204,19891013
701793,26524,MANLEY HOT SPRINGS,US,AK,W,PAML,64.999,-150.638,82.9,20060101,20140501
701793,99999,MANLEY HOT SPRINGS,US,AK,W,PAML,65.0,-150.65,81.0,19900724,20051231
701795,99999,FIVE MILE CAMP,US,AK,W,,65.933,-149.833,155.0,19730825,19960625
701940,26413,FORT YUKON AIRPORT,US,AK,W,PFYU,66.567,-145.267,135.6,19730101,20220428
701940,99999,FORT YUKON,US,AK,W,PFYU,66.567,-145.267,135.0,20000102,20031231
701945,46405,ARCTIC VILLAGE AIRPORT,US,AK,W,PARC,68.115,-145.579,637.6,20060101,20220428
701945,99999,ARCTIC VILLAGE,US,AK,W,PARC,68.117,-145.567,638.0,19950708,20051231
701970,99999,CENTRAL,US,AK,W,,65.483,-144.667,252.0,20021018,20071231
701975,26422,EAGLE AIRPORT,US,AK,W,PAEG,64.776,-141.164,277.3,20060101,20220428
701975,99999,EAGLE AIRPORT,US,AK,W,PAEG,64.783,-141.15,268.0,19980408,20051231
701995,26628,CAPE DARBY REMOT COM OUTLT,US,AK,W,PAGL,64.55,-163.007,7.6,20050101,20220428
701995,99999,GOLOVIN AIRPORT,US,AK,W,PAGL,64.54,-163.04,8.0,19990114,20041231
702000,26617,NOME AIRPORT,US,AK,W,PAOM,64.511,-165.44,5.4,19400101,20220428
702004,99999,WHITE MOUNTAIN,US,AK,W,PAWM,64.689,-163.413,81.4,20111201,20220427
702005,26647,ST MARY'S AIRPORT,US,AK,W,PASM,62.062,-163.3,95.1,20060101,20220428
702005,99999,ST MARYS,US,AK,W,PASM,62.05,-163.3,95.0,19790408,20051231
702006,26502,KALTAG AIRPORT,US,AK,W,PAKV,64.321,-158.733,52.6,20060101,20220428
702006,99999,KALTAG AIRPORT,US,AK,W,PAKV,64.316,-158.73,54.0,19990114,20051231
702031,26620,MOSES POINT,US,AK,W,,64.7,-162.05,6.1,19430608,19790128
702035,26704,SAVOONGA AIRPORT,US,AK,W,PASA,63.687,-170.493,16.8,20060108,20220428
702035,99999,SAVOONGA,US,AK,W,PASA,63.683,-170.483,16.0,19870629,20051201
702040,26703,GAMBELL AIRPORT,US,AK,W,PAGM,63.767,-171.733,8.5,19870603,20220428
702040,99999,GAMBELL (AWOS),US,AK,W,PAGM,63.767,-171.733,8.0,20000101,20031231
702060,26632,NORTHEAST CAPE,US,AK,W,KOHC,63.317,-168.967,9.1,19520729,19690819
